Date,Open,High,Low,Close,Volume
2022-03-10,394.0149491873976,399.47620149418265,387.6321601386174,396.7989196777344,260400
2022-03-11,406.43131616478337,410.815854053502,383.2767927669843,383.8782043457031,235300
2022-03-14,386.2451420074576,393.5009508345579,371.77236330465,373.4699096679688,546000
2022-03-15,373.7414808917824,410.9516794806941,372.587147104629,409.1765441894531,805000
2022-03-16,415.840555620184,430.7595640866436,405.66498972718415,427.4711608886719,544800
2022-03-17,422.0487123050852,440.052396912687,419.67216578388746,437.7146301269531,434200
2022-03-18,436.6961393876583,458.0464275779965,430.0029638838657,455.79595947265625,1154600
2022-03-21,447.97755342512943,456.7077901339857,439.3346155310193,450.5093078613281,589200
2022-03-22,452.3620029341446,466.6601792819018,447.8804867417341,456.0578002929688,496400
2022-03-23,450.7906746037131,469.1920767922382,445.58163751657054,449.8206481933594,424800
2022-03-24,453.0217289436602,480.939088184598,450.5287835373013,479.7944641113281,499400
2022-03-25,478.77592534747583,481.62780526019407,465.7387684901514,476.787353515625,347600
2022-03-28,472.3154631867629,484.4892802224418,466.5923144959201,484.4505004882813,269900
2022-03-29,490.08635360199713,499.272503011056,481.9963385486328,496.8571472167969,395200
2022-03-30,495.74973617786674,497.3817629725171,472.1532375983926,474.45556640625,482300
2022-03-31,481.6637060444365,484.752905824165,471.03605479554847,471.8132019042969,463700
2022-04-01,471.3954750746236,475.8738392887129,442.9223164479994,450.3636169433594,635400
2022-04-04,453.99690871153314,465.7125796439897,450.76199703757817,460.9816284179688,383300
2022-04-05,455.2402951759457,458.1157750909482,425.6402514427381,426.8351440429688,693600
2022-04-06,420.59842485122056,426.5922764315813,409.446212642763,418.937255859375,716700
2022-04-07,417.5481206418096,428.2340571938401,409.80567269962415,423.8528137207031,437200
2022-04-08,417.8103308538343,418.0726113069712,398.9156730985604,399.8385314941406,494600
2022-04-11,395.3699038950749,395.3990461707381,381.6336344510124,384.800537109375,552500
2022-04-12,395.3116618936739,398.9643189500191,386.2869236855199,389.58984375,414400
2022-04-13,391.435534451577,410.87423207288776,388.88061967350495,408.6301879882813,492700
2022-04-14,407.28966149338567,409.6794174054162,397.6722939924073,397.6917419433594,390400
2022-04-18,396.0790523064464,417.18864254559327,396.0790523064464,413.7594299316406,441500
2022-04-19,411.37934287681645,426.0093565295471,407.95985445212574,424.960205078125,366500
2022-04-20,430.29344475223417,434.5289464130743,416.6251558511248,419.8503723144531,246400
2022-04-21,424.69803349421903,431.3233222712375,400.7518234460268,403.6953125,322800
2022-04-22,403.248403195785,407.2313492088558,391.69786272250633,392.6693115234375,281800
2022-04-25,388.57951017462,409.27135723291286,386.78232401080953,408.1736450195313,405000
2022-04-26,398.8962712964027,401.20832400866817,382.5759445511652,383.1102294921875,434900
2022-04-27,380.28325620722455,393.6892645181819,378.47637606256205,381.177001953125,379000
2022-04-28,389.5314761941296,406.0363786710403,379.2341149490824,400.71282958984375,586400
2022-04-29,392.0183719521693,403.07346163969225,378.9621005427714,381.0409851074219,594900
2022-05-02,381.614215659444,403.7632658898537,379.24390788312695,399.13916015625,652100
2022-05-03,432.2946452485057,448.9549835125388,414.5462892499452,444.4183349609375,1231100
2022-05-04,440.2217342740458,468.52004207987954,423.6002301728458,465.508544921875,659700
2022-05-05,457.89242979786366,459.4661722204039,430.8764391542133,439.0754699707031,593100
2022-05-06,433.75181614363,441.8148279670794,413.9245459175648,432.2363586425781,367800
2022-05-09,422.580195116227,424.8339632719498,391.63954731467146,395.1270446777344,600000
2022-05-10,407.872453553489,410.67023066676927,387.1708832855708,401.00433349609375,673600
2022-05-11,396.4190742396501,410.51477457907055,374.697466104441,375.6689147949219,593900
